全局序号,分类,分类内序号,等级,POI_ID,名称,子类,地址,经度,纬度,评分,价格/费用/余量,开放/服务时间,建议游览分钟,电话,标签,简介/用途,图片URL,动态字段,数据用途,选择分,备注
42,景点,42,L2,219,银塘公园,公园,人民路(梅李医院往东500米),120.878341,31.714835,3.9,,24小时营业,,,,社区休闲公园，适合附近推荐。,,,搜索/候选展示/后续补全,,社区休闲公园，适合附近推荐。
43,景点,43,L2,222,虞园,公园,湘江东路与海虞北路交叉口东南340米,120.758031,31.659398,3.7,,24小时营业,,,,城区休闲点，可作为搜索候选。,,,搜索/候选展示/后续补全,,城区休闲点，可作为搜索候选。
44,景点,44,L2,223,褒亲禅寺,寺庙道观,褒亲禅寺(长桥中心路北),120.951985,31.614327,4.0,,06:00-18:00,,0512-52552740,,宗教文化点，可作为路线补充。,,,搜索/候选展示/后续补全,,宗教文化点，可作为路线补充。
45,景点,45,L2,229,小康公园,公园,古里镇小康村,120.824493,31.613281,4.1,,24小时营业,,,,公共休闲空间。,,,搜索/候选展示/后续补全,,公共休闲空间。
46,景点,46,L2,230,碧溪公园,公园,,120.935838,31.733769,4.1,,24小时营业,,,,滨江/碧溪片区休闲点。,,,搜索/候选展示/后续补全,,滨江/碧溪片区休闲点。
47,景点,47,L2,231,常熟读书台公园,公园,石梅路3号,120.738274,31.645874,3.9,,24小时营业,,,,文化休闲点，可作为轻量候选。,,,搜索/候选展示/后续补全,,文化休闲点，可作为轻量候选。
48,景点,48,L2,235,延福禅寺,寺庙道观,支塘镇杨家村88号,120.937277,31.534564,3.9,,08:30-16:00,,,,宗教文化点。,,,搜索/候选展示/后续补全,,宗教文化点。
49,景点,49,L2,238,白雀寺,寺庙道观,中泾村3-12殷家6号,120.70729,31.745498,4.2,,06:00-15:00,,,,有基础开放时间，适合文化候选。,,,搜索/候选展示/后续补全,,有基础开放时间，适合文化候选。
50,景点,50,L2,243,星圣娜玫瑰园,植物园,204国道与陈塘东路交叉口东200米,120.826862,31.678822,4.0,,24小时营业,,13612438313,,花卉观赏类候选点。,,,搜索/候选展示/后续补全,,花卉观赏类候选点。
51,景点,51,L2,250,智林寺,寺庙道观,塘南西路与华林路交叉口北100米,120.951461,31.673895,4.0,,08:00-17:00,,,,宗教文化候选点。,,,搜索/候选展示/后续补全,,宗教文化候选点。
52,景点,52,L2,252,望虞公园,公园,黎明东路与黎明苑路交叉口南300米,120.694016,31.693701,3.8,,24小时营业,,,,开放式休闲公园。,,,搜索/候选展示/后续补全,,开放式休闲公园。
53,景点,53,L2,258,东平王府,旅游景点,花溪路,120.762691,31.617797,3.9,,,,,,古城历史建筑候选。,,,搜索/候选展示/后续补全,,古城历史建筑候选。
54,景点,54,L2,260,石梅园,旅游景点,石梅路19号,120.739404,31.646071,3.6,,08:00-19:00,,,,古城片区轻量游览点。,,,搜索/候选展示/后续补全,,古城片区轻量游览点。
55,景点,55,L2,262,黄公望墓,旅游景点,虞山南路158号黄公望纪念馆(东北角),120.685032,31.680678,3.7,,08:00-16:00,,,,历史人物主题候选点。,,,搜索/候选展示/后续补全,,历史人物主题候选点。
56,景点,56,L2,267,常熟古里龙旋寺,寺庙道观,204国道西150米,120.845125,31.655043,3.7,,,,,,古里片区宗教文化点。,,,搜索/候选展示/后续补全,,古里片区宗教文化点。
57,景点,57,L2,287,弘福寺,寺庙道观,弘福路与东新路交叉口南140米,120.605937,31.594501,3.9,,,,,,宗教文化候选点。,,,搜索/候选展示/后续补全,,宗教文化候选点。
58,景点,58,L2,289,侵华日军野猫口登陆点,旅游景点,,120.962574,31.75774,4.4,,,,,,近现代历史主题候选点。,,,搜索/候选展示/后续补全,,近现代历史主题候选点。
59,景点,59,L2,290,曾朴纪念馆,纪念馆,西南隅翁府前7号曾园·赵园内,120.736492,31.641312,2.9,,,,0512-52225139,,名人文化候选点。,,,搜索/候选展示/后续补全,,名人文化候选点。
60,景点,60,L2,291,瓶隐庐纪念馆,纪念馆,虞山南路111号,120.683397,31.673114,4.0,,,,0512-52861681,,文化纪念馆候选点。,,,搜索/候选展示/后续补全,,文化纪念馆候选点。
61,美食,,L4,404,望虞台茶文化餐厅,餐饮相关,虞山尚湖旅游度假区常熟尚湖风景区串月桥堍1号,120.693503,31.643248,4.5,109.00,08:00-21:00,,0512-52273999,餐饮相关、茶餐厅、虞山、尚湖、景区、风景,望虞台茶文化餐厅属于餐饮相关，适合作为游览路线中的用餐/休息节点。,https://aos-comment.amap.com/B02000JW0W/comment/content_media_external_file_6439_1760477697391_33369816.jpg,avg_crowd=0.151; peak_crowd=0.405,重点样板卡片/封面图/路线规划,234.996,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
62,美食,,L4,476,红泥食府(海虞北路店),综合酒楼,虞山镇海虞北路9号,120.754534,31.657914,4.5,106.00,11:00-21:00,,0512-52571713,综合酒楼、中餐、招牌红汤面、剁椒鱼头、家常菜、虞山,红泥食府(海虞北路店)属于综合酒楼，适合作为游览路线中的用餐/休息节点。,https://store.is.autonavi.com/showpic/d04ac7d566bd2e0d58f254b1ac32509f,avg_crowd=0.151; peak_crowd=0.405,重点样板卡片/封面图/路线规划,215.829,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
63,美食,,L4,445,碧云轩(常熟店),茶艺馆,虞山镇碧云路10号碧云轩,120.721627,31.676295,4.6,256.00,08:00-22:00 08:00-22:00,,0512-52899777,茶艺馆、私房菜、鲍鱼焖猪手、避风塘阿拉斯加帝王蟹、爽口脆笋、芙蓉蛋白凤尾虾,碧云轩(常熟店)属于茶艺馆，适合作为游览路线中的用餐/休息节点。,https://store.is.autonavi.com/showpic/50c9fd618d58a00b0000002324030662?type=pic,avg_crowd=0.151; peak_crowd=0.405,重点样板卡片/封面图/路线规划,213.849,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
64,美食,,L4,474,一带一炉总店,火锅店,虞山北路虞景文华广场28幢,120.739654,31.652338,4.5,115.00,11:00-24:00,,13771401341,火锅店、打边炉、面包蟹、八爪鱼、大鲍鱼、虞山,一带一炉总店属于火锅店，适合作为游览路线中的用餐/休息节点。,http://store.is.autonavi.com/showpic/d31bc1464b2726e3098f88d4fa406955,avg_crowd=0.151; peak_crowd=0.405,重点样板卡片/封面图/路线规划,212.564,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
65,美食,,L4,479,湖畔居花园餐厅(昆承湖),中餐厅,昆承湖东路,120.764287,31.596586,4.5,279.00,09:00-13:30 16:30-20:30,,0512-82363777;13915650781,中餐厅、江浙菜、芋头、松鼠鳜鱼、松鼠桂鱼、蕈油面,湖畔居花园餐厅(昆承湖)属于中餐厅，适合作为游览路线中的用餐/休息节点。,http://store.is.autonavi.com/showpic/76d5651becdcb63ea4b43d7a7bb00d32,avg_crowd=0.151; peak_crowd=0.405,重点样板卡片/封面图/路线规划,209.74,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
66,美食,,L4,403,文轩铺子早点(富莲路店),快餐厅,虞山镇富莲路尤墩里43号,120.74517,31.61832,4.3,9.00,明周日04:00-11:30,,18013774962;18962402962,快餐厅、小吃快餐、虞山,文轩铺子早点(富莲路店)属于快餐厅，适合作为游览路线中的用餐/休息节点。,http://store.is.autonavi.com/showpic/8d498fa063dd8a009e1e6a801e35fee4,avg_crowd=0.151; peak_crowd=0.405,重点样板卡片/封面图/路线规划,207.197,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
67,美食,,L4,525,麦伴伴爆炒浇头面(梅李店),餐饮相关,观景园东南门西南70米,120.868777,31.705361,4.5,69.00,09:00-01:00,,18015699927,餐饮相关、面馆、浇头面、南门,麦伴伴爆炒浇头面(梅李店)属于餐饮相关，适合作为游览路线中的用餐/休息节点。,https://store.is.autonavi.com/showpic/3b6b843d2d70776c4ec704c3f35c19a8,avg_crowd=0.151; peak_crowd=0.405,重点样板卡片/封面图/路线规划,204.663,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
68,美食,,L4,549,m+甜品店(常熟老街店),甜品店,常熟老街-南区北门东220米,120.759241,31.688499,4.1,31.00,08:30-20:30,,13962314691,甜品店、蛋黄酥、抹茶蛋糕、雪媚娘、老街,m+甜品店(常熟老街店)属于甜品店，适合作为游览路线中的用餐/休息节点。,http://store.is.autonavi.com/showpic/2ed5d8ea55c437c7844bea627e2ce0d8,avg_crowd=0.151; peak_crowd=0.405,重点样板卡片/封面图/路线规划,203.832,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
69,美食,,L4,583,奥灶面馆,中餐厅,沙家浜沙南路184号,120.779131,31.563365,4.3,20.00,05:00-17:00,,0512-88855559;18962490750,中餐厅、面馆、奥灶面、焖肉面、鸭肉、大排,奥灶面馆属于中餐厅，适合作为游览路线中的用餐/休息节点。,https://store.is.autonavi.com/showpic/90e1a0879097bebba98fa01f20220dee,avg_crowd=0.151; peak_crowd=0.405,重点样板卡片/封面图/路线规划,201.973,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
